VIN,Year,Model,Trim,Engine,Trans.,Drivetrain,Exterior_Color,Interior_Color,Interior,MSRP,Order_Number,URL2C3CDZL94PH100001,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black Interior Color,170 Laguna Leather Seats,"$162,836",3065,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL94PH100001
2C3CDZL92PH100014,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Sinamon Stick,Black Interior Color,170 Alcantara Leather Seats,"$134,536",3078,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL92PH100014
2C3CDZL94PH100015,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black Interior Color,170 Alcantara Leather Seats,"$162,836",3079,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL94PH100015
2C3CDZL96PH100016,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Destroyer Gray,Black / Demonic Red,170 Laguna Leather Seats,"$134,631",3080,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL96PH100016
2C3CDZL98PH100017,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black / Demonic Red,170 Laguna Leather Seats,"$133,541",3081,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL98PH100017
2C3CDZL91PH100019,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Triple Nickel,Black Interior Color,170 Alcantara Leather Seats,"$144,231",3083,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL91PH100019
2C3CDZL9XPH100021,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black Interior Color,170 Alcantara Leather Seats,"$117,956",3085,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL9XPH100021
2C3CDZL91PH100022,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Sublime,Black Interior Color,170 Alcantara Leather Seats,"$124,441",3086,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL91PH100022
2C3CDZL93PH100023,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Go Mango,Black Interior Color,170 Cloth Seats,"$125,846",3087,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL93PH100023
2C3CDZL95PH100024,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Plum Crazy,Black Interior Color,170 Alcantara Leather Seats,"$142,926",3088,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL95PH100024
2C3CDZL97PH100025,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Plum Crazy,Black Interior Color,170 Alcantara Leather Seats,"$134,236",3089,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL97PH100025
2C3CDZL99PH100026,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black / Demonic Red,170 Laguna Leather Seats,"$120,951",3090,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL99PH100026
2C3CDZL90PH100027,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Triple Nickel,Black / Demonic Red,170 Laguna Leather Seats,"$130,936",3091,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL90PH100027
2C3CDZL92PH100028,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Go Mango,Black Interior Color,170 Alcantara Leather Seats,"$132,841",3092,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL92PH100028
2C3CDZL94PH100029,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Frostbite,Black / Demonic Red,170 Laguna Leather Seats,"$135,636",3093,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL94PH100029
2C3CDZL90PH100030,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Sublime,Black Interior Color,170 Alcantara Leather Seats,"$123,736",3094,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL90PH100030
2C3CDZL92PH100031,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Plum Crazy,Black Interior Color,170 Alcantara Leather Seats,"$131,546",3095,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL92PH100031
2C3CDZL94PH100032,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,B5 Blue,Black Interior Color,170 Alcantara Leather Seats,"$136,236",3096,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL94PH100032
2C3CDZL96PH100033,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Plum Crazy,Black / Demonic Red,170 Laguna Leather Seats,"$136,631",3097,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL96PH100033
2C3CDZL98PH100034,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Octane Red,Black / Demonic Red,170 Laguna Leather Seats,"$136,931",3098,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL98PH100034
2C3CDZL9XPH100035,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black Interior Color,170 Alcantara Leather Seats,"$136,536",3099,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL9XPH100035
2C3CDZL91PH100036,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Go Mango,Black Interior Color,170 Alcantara Leather Seats,"$118,351",3100,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL91PH100036
2C3CDZL93PH100037,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black Interior Color,170 Alcantara Leather Seats,"$150,946",3101,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL93PH100037
2C3CDZL95PH100038,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black / Demonic Red,170 Laguna Leather Seats,"$120,951",3102,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL95PH100038
2C3CDZL97PH100039,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Frostbite,Black Interior Color,170 Alcantara Leather Seats,"$118,051",3103,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL97PH100039
2C3CDZL93PH100040,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Frostbite,Black / Demonic Red,170 Laguna Leather Seats,"$131,941",3104,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL93PH100040
2C3CDZL95PH100041,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black / Demonic Red,170 Laguna Leather Seats,"$129,451",3105,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL95PH100041
2C3CDZL97PH100042,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black Interior Color,170 Alcantara Leather Seats,"$133,446",3106,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL97PH100042
2C3CDZL99PH100043,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,TorRed,Black / Demonic Red,170 Laguna Leather Seats,"$133,841",3107,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL99PH100043
2C3CDZL90PH100044,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black / Demonic Red,170 Laguna Leather Seats,"$120,951",3108,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL90PH100044
2C3CDZL94PH100046,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,F8 Green,Black Interior Color,170 Cloth Seats,"$117,336",3110,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL94PH100046
2C3CDZL96PH100047,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Triple Nickel,Black Interior Color,170 Alcantara Leather Seats,"$122,046",3111,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL96PH100047
2C3CDZL98PH100048,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,White Knuckle,Black / Demonic Red,170 Laguna Leather Seats,"$135,541",3112,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL98PH100048
2C3CDZL9XPH100049,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Go Mango,Black Interior Color,170 Alcantara Leather Seats,"$124,046",3113,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL9XPH100049
2C3CDZL98PH100051,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Destroyer Gray,Black Interior Color,170 Alcantara Leather Seats,"$133,936",3115,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL98PH100051
2C3CDZL9XPH100052,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Go Mango,Black Interior Color,170 Alcantara Leather Seats,"$132,241",3116,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL9XPH100052
2C3CDZL91PH100053,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Plum Crazy,Black Interior Color,170 Cloth Seats,"$131,241",3117,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL91PH100053
2C3CDZL93PH100054,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,F8 Green,Black Interior Color,170 Alcantara Leather Seats,"$132,541",3118,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL93PH100054
2C3CDZL95PH100055,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,B5 Blue,Black Interior Color,170 Alcantara Leather Seats,"$134,536",3119,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL95PH100055
2C3CDZL97PH100056,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Sublime,Black Interior Color,170 Alcantara Leather Seats,"$124,441",3120,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL97PH100056
2C3CDZL99PH100057,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,B5 Blue,Black Interior Color,170 Alcantara Leather Seats,"$123,136",3121,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL99PH100057
2C3CDZL90PH100058,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black Interior Color,170 Alcantara Leather Seats,"$132,446",3122,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL90PH100058
2C3CDZL92PH100059,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black / Demonic Red,170 Laguna Leather Seats,"$120,951",3123,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL92PH100059
2C3CDZL99PH100060,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Triple Nickel,Black Interior Color,170 Alcantara Leather Seats,"$132,541",3124,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL99PH100060
2C3CDZL90PH100061,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Granite,Black / Demonic Red,170 Laguna Leather Seats,"$131,941",3125,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL90PH100061
2C3CDZL92PH100062,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Plum Crazy,Black Interior Color,170 Alcantara Leather Seats,"$131,546",3126,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL92PH100062
2C3CDZL94PH100063,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,B5 Blue,Black Interior Color,170 Alcantara Leather Seats,"$122,741",3127,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL94PH100063
2C3CDZL96PH100064,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,TorRed,Black Interior Color,170 Alcantara Leather Seats,"$136,536",3128,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL96PH100064
2C3CDZL98PH100065,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black / Demonic Red,170 Laguna Leather Seats,"$130,841",3129,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL98PH100065
2C3CDZL9XPH100066,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,TorRed,Black Interior Color,170 Alcantara Leather Seats,"$132,841",3130,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL9XPH100066
2C3CDZL91PH100067,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,White Knuckle,Black Interior Color,170 Alcantara Leather Seats,"$129,451",3131,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL91PH100067
2C3CDZL93PH100068,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Plum Crazy,Black / Demonic Red,170 Laguna Leather Seats,"$144,626",3132,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL93PH100068
2C3CDZL95PH100069,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Plum Crazy,Black / Demonic Red,170 Laguna Leather Seats,"$123,136",3133,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL95PH100069
2C3CDZL91PH100070,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,F8 Green,Black Interior Color,170 Alcantara Leather Seats,"$120,046",3134,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL91PH100070
2C3CDZL93PH100071,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black / Demonic Red,170 Laguna Leather Seats,"$120,351",3135,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL93PH100071
2C3CDZL95PH100072,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,TorRed,Black / Demonic Red,170 Laguna Leather Seats,"$136,536",3136,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL95PH100072
2C3CDZL99PH100074,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,B5 Blue,Black Interior Color,170 Alcantara Leather Seats,"$132,936",3138,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL99PH100074
2C3CDZL92PH100076,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,F8 Green,Black Interior Color,170 Cloth Seats,"$114,741",3140,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL92PH100076
2C3CDZL94PH100077,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black / Demonic Red,170 Laguna Leather Seats,"$136,536",3141,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL94PH100077
2C3CDZL96PH100078,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black / Demonic Red,170 Laguna Leather Seats,"$136,536",3142,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL96PH100078
2C3CDZL98PH100079,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black / Demonic Red,170 Laguna Leather Seats,"$172,831",3143,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL98PH100079
2C3CDZL94PH100080,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Destroyer Gray,Black Interior Color,170 Cloth Seats,"$114,741",3144,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL94PH100080
2C3CDZL96PH100081,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Plum Crazy,Black Interior Color,170 Alcantara Leather Seats,"$131,941",3145,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL96PH100081
2C3CDZL98PH100082,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black Interior Color,170 Alcantara Leather Seats,"$161,841",3146,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL98PH100082
2C3CDZL9XPH100083,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Sinamon Stick,Black Interior Color,170 Cloth Seats,"$118,341",3147,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL9XPH100083
2C3CDZL91PH100084,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,TorRed,Black Interior Color,170 Alcantara Leather Seats,"$124,046",3148,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL91PH100084
2C3CDZL93PH100085,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Sublime,Black Interior Color,170 Alcantara Leather Seats,"$135,936",3149,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL93PH100085
2C3CDZL95PH100086,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Plum Crazy,Black / Demonic Red,170 Laguna Leather Seats,"$121,436",3150,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL95PH100086
2C3CDZL97PH100087,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black Interior Color,170 Alcantara Leather Seats,"$151,341",3151,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL97PH100087
2C3CDZL99PH100088,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,F8 Green,Black Interior Color,170 Alcantara Leather Seats,"$142,531",3152,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL99PH100088
2C3CDZL90PH100089,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Granite,Black Interior Color,170 Alcantara Leather Seats,"$131,941",3153,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL90PH100089
2C3CDZL97PH100090,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black Interior Color,170 Alcantara Leather Seats,"$136,141",3154,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL97PH100090
